                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3648,                 4.0939,                 2.2565,                0.00083,                0.18473,                0.00252,                0.00052,                  2.988,                 4.5204,                 2.4513,                0.09001,                  1e-05,                  1e-05
                      2,                 1.8248,                  3.654,                 1.7404,                0.00107,                0.23783,                0.02439,                0.00705,                 2.5801,                 4.1681,                 2.2903,               0.079021,             2.0931e-05,             2.0931e-05
                      3,                 1.6898,                 3.4525,                 1.6098,                0.00315,                0.30153,                0.04838,                0.02043,                 2.1863,                 3.8538,                 1.9861,               0.068032,             3.1789e-05,             3.1789e-05
                      4,                 1.5466,                 3.2456,                 1.5355,                0.00511,                0.42591,                0.06856,                0.03359,                 1.9614,                 3.7265,                 1.9045,               0.057043,             4.2574e-05,             4.2574e-05
                      5,                 1.5399,                 2.9919,                 1.4843,                 0.0062,                0.42816,                0.07682,                0.04072,                 1.8493,                 3.7238,                 1.8593,               0.046053,             5.3287e-05,             5.3287e-05
                      6,                 1.5178,                 2.8803,                 1.4642,                0.00488,                0.43831,                 0.0828,                0.04218,                 1.6947,                 3.5907,                 1.7381,               0.035064,             6.3927e-05,             6.3927e-05
                      7,                 1.4502,                 2.8115,                 1.4064,                0.00475,                0.44846,                0.09949,                0.05533,                 1.5018,                 3.4049,                 1.5942,               0.024074,             7.4495e-05,             7.4495e-05
                      8,                 1.4744,                 2.7995,                 1.4004,                 0.1632,                 0.0806,                0.12222,                0.07412,                 1.3902,                 3.1202,                 1.4983,               0.013085,              8.499e-05,              8.499e-05
                      9,                 1.4398,                 2.6422,                 1.4106,                0.40833,                0.09037,                0.13096,                0.08462,                 1.3029,                 2.9118,                 1.4345,              0.0020954,             9.5413e-05,             9.5413e-05
                     10,                 1.4122,                 2.6685,                 1.3471,                0.63961,                 0.1928,                0.16297,                0.11182,                  1.205,                 2.6079,                 1.3326,              9.703e-05,              9.703e-05,              9.703e-05
                     11,                 1.3905,                 2.5386,                 1.3472,                0.62623,                0.23687,                0.16322,                0.10721,                 1.1767,                 2.4571,                 1.2991,               9.67e-05,               9.67e-05,               9.67e-05
                     12,                 1.2996,                 2.4201,                 1.3111,                0.62195,                0.26084,                0.16285,                0.10324,                 1.1545,                 2.4187,                   1.29,              9.637e-05,              9.637e-05,              9.637e-05
                     13,                 1.3346,                 2.4352,                 1.3278,                 0.6229,                0.24603,                0.16584,                0.10612,                 1.1414,                 2.3945,                 1.2777,              9.604e-05,              9.604e-05,              9.604e-05
                     14,                 1.3524,                  2.506,                 1.3378,                0.62682,                0.26209,                0.16763,                0.10452,                 1.1484,                 2.3945,                 1.2831,              9.571e-05,              9.571e-05,              9.571e-05
                     15,                 1.3281,                 2.4074,                 1.2938,                0.63331,                0.27628,                0.17299,                0.10788,                 1.1387,                  2.377,                 1.2709,              9.538e-05,              9.538e-05,              9.538e-05
                     16,                 1.2815,                 2.3617,                 1.3027,                0.39807,                0.29762,                0.19205,                0.13169,                 1.0784,                 2.3049,                 1.2302,              9.505e-05,              9.505e-05,              9.505e-05
                     17,                 1.3168,                 2.3746,                 1.3205,                0.65513,                0.28135,                0.20825,                0.15006,                 1.0591,                 2.2592,                 1.2118,              9.472e-05,              9.472e-05,              9.472e-05
                     18,                 1.1724,                 2.2217,                 1.2315,                  0.409,                0.28646,                0.21567,                0.15878,                 1.0584,                 2.2349,                  1.224,              9.439e-05,              9.439e-05,              9.439e-05
                     19,                 1.3009,                 2.2938,                 1.3133,                0.41154,                0.27825,                0.22073,                0.16313,                 1.0424,                 2.2113,                 1.2193,              9.406e-05,              9.406e-05,              9.406e-05
                     20,                 1.2301,                 2.2663,                 1.2659,                0.41133,                0.29632,                0.23072,                 0.1695,                 1.0307,                 2.1704,                 1.2009,              9.373e-05,              9.373e-05,              9.373e-05
                     21,                 1.2251,                   2.27,                 1.2437,                0.16594,                0.29672,                0.23682,                0.16649,                 1.0872,                 2.1556,                 1.2052,               9.34e-05,               9.34e-05,               9.34e-05
                     22,                 1.2728,                 2.2794,                  1.302,                0.16315,                0.33228,                0.24222,                0.17661,                  1.031,                 2.1291,                 1.1877,              9.307e-05,              9.307e-05,              9.307e-05
                     23,                 1.2309,                 2.2831,                 1.2656,                0.17622,                0.35631,                0.23753,                0.17309,                0.98839,                 2.1417,                 1.1874,              9.274e-05,              9.274e-05,              9.274e-05
                     24,                 1.2352,                 2.2198,                 1.2778,                0.20504,                0.32693,                0.24908,                0.18588,                0.96213,                 2.1246,                 1.1718,              9.241e-05,              9.241e-05,              9.241e-05
                     25,                 1.1896,                 2.1903,                 1.2414,                0.20907,                0.32324,                0.25066,                0.18515,                0.99722,                  2.123,                 1.1614,              9.208e-05,              9.208e-05,              9.208e-05
                     26,                  1.206,                 2.1985,                 1.2216,                0.20052,                 0.3467,                0.25077,                 0.1764,                 1.0687,                 2.1425,                 1.1828,              9.175e-05,              9.175e-05,              9.175e-05
                     27,                  1.175,                 2.1553,                 1.2321,                0.20253,                0.34489,                0.25587,                 0.1908,                0.95812,                 2.1209,                 1.1601,              9.142e-05,              9.142e-05,              9.142e-05
                     28,                 1.1836,                 2.1446,                 1.2652,                0.18413,                0.34996,                0.25932,                0.19192,                0.94996,                 2.1003,                 1.1642,              9.109e-05,              9.109e-05,              9.109e-05
                     29,                 1.1634,                  2.082,                 1.2168,                0.22941,                0.29261,                0.26553,                0.19566,                0.99684,                 2.0966,                  1.157,              9.076e-05,              9.076e-05,              9.076e-05
                     30,                 1.2165,                 2.1686,                  1.266,                 0.1897,                0.35007,                0.25946,                0.17664,                 1.1222,                 2.1088,                 1.2047,              9.043e-05,              9.043e-05,              9.043e-05
                     31,                  1.196,                 2.0511,                 1.2405,                0.20392,                0.30167,                0.27092,                 0.2007,                0.99814,                 2.0428,                 1.1606,               9.01e-05,               9.01e-05,               9.01e-05
                     32,                 1.1822,                 2.1105,                 1.2447,                0.21506,                0.30386,                0.28112,                0.21033,                0.92774,                  2.019,                 1.1599,              8.977e-05,              8.977e-05,              8.977e-05
                     33,                  1.206,                 2.1704,                 1.2704,                0.23289,                0.29502,                0.28761,                0.21607,                0.92517,                 2.0044,                 1.1558,              8.944e-05,              8.944e-05,              8.944e-05
                     34,                  1.183,                  2.059,                 1.2313,                0.24157,                0.29055,                0.29228,                0.21936,                 0.9569,                 1.9751,                 1.1438,              8.911e-05,              8.911e-05,              8.911e-05
                     35,                 1.2685,                 2.1213,                  1.273,                0.22878,                0.29415,                0.29127,                0.19801,                 1.1092,                  2.007,                 1.1927,              8.878e-05,              8.878e-05,              8.878e-05
                     36,                 1.2381,                 2.1225,                 1.2387,                0.22181,                0.31136,                0.29309,                0.21087,                 1.0031,                 1.9869,                 1.1496,              8.845e-05,              8.845e-05,              8.845e-05
                     37,                 1.0975,                 1.9909,                 1.1697,                0.47467,                0.30997,                0.28876,                0.22194,                0.90028,                 1.9654,                 1.1262,              8.812e-05,              8.812e-05,              8.812e-05
