epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37706,1.69934,3.19656,1.39508,0.4624,0.74406,0.52326,0.29044,1.55998,7.27349,1.475,0.089011,1.1e-05,1.1e-05
2,9.59666,1.11976,1.31936,1.12895,0.52014,0.78314,0.51396,0.35849,1.27046,2.38379,1.38235,0.0770228,2.27723e-05,2.27723e-05
3,19.4766,1.00814,1.12249,1.09301,0.51703,0.79818,0.57166,0.3913,1.27001,1.47033,1.35854,0.0650343,3.4307e-05,3.4307e-05
4,27.6047,1.00161,1.11357,1.09869,0.53507,0.66437,0.55978,0.36652,1.32869,1.47851,1.393,0.0530456,4.56041e-05,4.56041e-05
5,33.3318,0.99109,1.08051,1.09381,0.52,0.85747,0.58469,0.3975,1.21671,1.59946,1.35534,0.0410567,5.66636e-05,5.66636e-05
6,41.2158,1.01541,1.06261,1.08756,0.51209,0.86513,0.52613,0.34272,1.36344,1.70044,1.35149,0.0290675,6.74855e-05,6.74855e-05
7,46.8186,0.96158,1.121,1.08932,0.51238,0.88352,0.56471,0.40215,1.14974,1.86883,1.28368,0.0170781,7.80698e-05,7.80698e-05
8,54.2223,0.9718,1.07881,1.09048,0.51237,0.86667,0.57824,0.40123,1.14843,1.33431,1.30532,0.00508842,8.84165e-05,8.84165e-05
9,62.29,0.97425,1.06313,1.08933,0.51596,0.86437,0.55758,0.40473,1.04451,1.45686,1.26832,9.208e-05,9.208e-05,9.208e-05
10,70.4985,1.00057,0.96751,1.07541,0.51036,0.8666,0.57808,0.41494,1.08573,1.35546,1.27769,9.109e-05,9.109e-05,9.109e-05
11,77.8215,0.9019,0.951,1.06506,0.52967,0.84655,0.6,0.41443,1.16895,1.42026,1.3298,9.01e-05,9.01e-05,9.01e-05
12,85.2929,1.04428,1.0677,1.14877,0.51083,0.859,0.60503,0.42906,1.06836,1.27633,1.30456,8.911e-05,8.911e-05,8.911e-05
13,92.6622,0.91552,0.92846,1.06028,0.48397,0.80278,0.57112,0.37591,1.24389,1.69,1.35372,8.812e-05,8.812e-05,8.812e-05
14,98.2081,0.92015,0.99478,1.08658,0.47571,0.68276,0.49787,0.34094,1.16844,1.83305,1.33728,8.713e-05,8.713e-05,8.713e-05
15,103.838,0.86611,0.84606,1.03341,0.50188,0.83985,0.58663,0.41105,1.15202,1.32902,1.32591,8.614e-05,8.614e-05,8.614e-05
16,109.35,0.86739,0.86538,1.04575,0.5328,0.88352,0.64885,0.46585,1.12268,1.69201,1.31019,8.515e-05,8.515e-05,8.515e-05
17,116.93,0.85827,0.83349,1.03764,0.55173,0.8705,0.64417,0.48554,1.01356,1.66116,1.27253,8.416e-05,8.416e-05,8.416e-05
18,124.744,0.83211,0.78452,1.03413,0.54389,0.83142,0.56882,0.42976,1.03761,1.56877,1.29312,8.317e-05,8.317e-05,8.317e-05
19,130.547,0.87769,0.81912,1.06596,0.51169,0.78314,0.52513,0.39483,1.03028,1.94265,1.28749,8.218e-05,8.218e-05,8.218e-05
20,136.248,0.8335,0.78812,1.04163,0.58807,0.73946,0.62966,0.46439,1.04351,1.40957,1.26961,8.119e-05,8.119e-05,8.119e-05
21,141.809,0.84663,0.78367,1.02967,0.60602,0.35939,0.53433,0.36128,1.12485,1.83895,1.32614,8.02e-05,8.02e-05,8.02e-05
22,147.462,0.83865,0.80128,1.03724,0.5053,0.85747,0.54092,0.41489,1.03726,1.91882,1.26751,7.921e-05,7.921e-05,7.921e-05
23,153.021,0.83742,0.77832,1.02428,0.52311,0.88595,0.54994,0.42839,1.02211,2.68332,1.29863,7.822e-05,7.822e-05,7.822e-05
24,158.663,0.79681,0.69709,1.00931,0.55226,0.81474,0.65214,0.48749,1.0424,1.52499,1.29768,7.723e-05,7.723e-05,7.723e-05
25,166.695,0.82848,0.70055,1.02106,0.58373,0.72961,0.62557,0.46252,1.06869,1.43073,1.29079,7.624e-05,7.624e-05,7.624e-05
26,172.563,0.80975,0.65297,1.00576,0.57548,0.63054,0.57414,0.42043,1.11002,1.66965,1.31119,7.525e-05,7.525e-05,7.525e-05
27,178.247,0.80453,0.66271,1.0068,0.57845,0.62144,0.56183,0.39901,1.1496,1.70782,1.34707,7.426e-05,7.426e-05,7.426e-05
28,185.224,0.82637,0.65711,1.01694,0.5384,0.76245,0.5471,0.40908,1.09994,2.12174,1.33657,7.327e-05,7.327e-05,7.327e-05
29,191.015,0.79976,0.64413,1.00348,0.55219,0.74483,0.53846,0.38549,1.16987,1.99556,1.35358,7.228e-05,7.228e-05,7.228e-05
30,197.063,0.78818,0.63165,0.98535,0.54818,0.76935,0.54603,0.40485,1.09791,1.88605,1.32095,7.129e-05,7.129e-05,7.129e-05
31,202.9,0.76695,0.58193,0.97656,0.54708,0.71571,0.56015,0.41196,1.09761,1.77533,1.31233,7.03e-05,7.03e-05,7.03e-05
32,208.92,0.78688,0.63956,0.99468,0.59092,0.63218,0.63563,0.45307,1.11509,1.47414,1.31326,6.931e-05,6.931e-05,6.931e-05
33,214.701,0.77932,0.60884,0.99882,0.54871,0.80307,0.6058,0.46189,1.01936,1.81578,1.31284,6.832e-05,6.832e-05,6.832e-05
34,220.443,0.75036,0.5877,0.97852,0.58761,0.7954,0.59028,0.43968,1.09282,2.46141,1.33632,6.733e-05,6.733e-05,6.733e-05
